slug,作品,年份／媒介,最高明确度,女女关系位置,恋爱位置,适合的查询,男性恋爱线,Bangumi 条目,Bangumi 维基百合,Bangumi 百合标签比例,Anime-Planet GL,AniList Yuri 相关性,MyAnimeList Girls Love
hibike_euphonium_chikai_no_finale_movie_2019,剧场版 吹响吧！上低音号～誓言的终章～,2019 剧场动画,潜在恋爱,主线,重要副线,未确认、主线,副线,https://bangumi.tv/subject/216372,未命中,0.032073750420127715,未命中,0,未命中
hibike_euphonium_todoketai_melody_movie_2017,剧场版 吹响吧！上低音号～想要传达的旋律～,2017 剧场动画,潜在恋爱,主线,主线,未确认、主线,副线,https://bangumi.tv/subject/211089,未命中,0.033186512758201704,未命中,0,未命中
non_non_biyori_repeat_tv_2015,悠哉日常大王 Repeat,2015 TV,潜在恋爱,主线,重要副线,未确认、主线,无,https://bangumi.tv/subject/101442,命中,0.03521872060206961,未命中,0,未命中
yama_no_susume_next_summit_tv_2022,向山进发 Next Summit,2022 TV,潜在恋爱,主线,重要副线,未确认、主线,无,https://bangumi.tv/subject/290980,命中,0.1024679515130374,未命中,0,未命中
non_non_biyori_tv_2013,悠哉日常大王,2013 TV,明确欲望,主线,重要副线,欲望、未确认、主线,无,https://bangumi.tv/subject/78405,命中,0.03560183197366538,未命中,0,未命中
top_wo_nerae_2_ova_2004,飞跃巅峰2！,2004 OVA,潜在恋爱,主线,主线,未确认、主线,副线,https://bangumi.tv/subject/768,未命中,0.042827488255216865,未命中,60,未命中
non_non_biyori_vacation_movie_2018,剧场版 悠哉日常大王 Vacation,2018 剧场动画,潜在恋爱,主线,局部,未确认、主线,无,https://bangumi.tv/subject/215618,命中,0.03153680921694981,未命中,0,未命中
kaleido_star_legend_phoenix_ova_2006,百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,2006 OVA,潜在恋爱,主线,主线,未确认、主线、官方恋爱,副线,https://bangumi.tv/subject/37063,命中,0.052564102564102565,未命中,,无可对应页面
bang_dream_its_mygo_tv_2023,BanG Dream! It's MyGO!!!!!,2023 TV,潜在恋爱,主线,局部,未确认、主线,无,https://bangumi.tv/subject/428735,未命中,0.10546668079245683,未命中,57,未命中
hidamari_sketch_sae_hiro_graduation_ova_2013,向阳素描 沙英・寻 毕业篇,2013 OVA,潜在恋爱,主线,局部,未确认、主线,无,https://bangumi.tv/subject/82233,命中,0.07583703106091166,未命中,20,未命中
mahou_shoujo_madoka_magica_beginnings_movie_2012,剧场版 魔法少女小圆 [前篇] 起始的物语,2012 剧场动画,潜在恋爱,主线,主线,未确认、主线,副线,https://bangumi.tv/subject/25833,命中,0.046456523300064625,未命中,60,未命中
